Entity,Code,Gini coefficient 1990,Gini coefficient 1991,Gini coefficient 1992,Gini coefficient 1993,Gini coefficient 1994,Gini coefficient 1995,Gini coefficient 1996,Gini coefficient 1997,Gini coefficient 1998,Gini coefficient 1999,Gini coefficient 2000,Gini coefficient 2001,Gini coefficient 2002,Gini coefficient 2003,Gini coefficient 2004,Gini coefficient 2005,Gini coefficient 2006,Gini coefficient 2007,Gini coefficient 2008,Gini coefficient 2009,Gini coefficient 2010,Gini coefficient 2011,Gini coefficient 2012,Gini coefficient 2013,Gini coefficient 2014,Gini coefficient 2015,Gini coefficient 2016,Gini coefficient 2017,Gini coefficient 2018,Gini coefficient 2019,Gini coefficient 2020,Gini coefficient 2021,Gini coefficient 2022,Gini coefficient 2023
Albania,ALB,0.27010342,0.27010342,0.27010342,0.27010342,0.27010342,0.27010342,0.27010342,0.27010342,0.27010342,0.27010342,0.27010342,0.27010342,0.3173898,0.3173898,0.3173898,0.30595654,0.30595654,0.30595654,0.2998467,0.2998467,0.2998467,0.2998467,0.28960484,0.28960484,0.34598896,0.32753733,0.33736297,0.33055663,0.30148283,0.30115768,0.2941963,0.2941963,0.2941963,0.2941963
Algeria,DZA,0.35330054,0.35330054,0.35330054,0.35330054,0.35330054,0.35330054,0.35330054,0.35330054,0.35330054,0.35330054,0.35330054,0.35330054,0.35330054,0.35330054,0.35330054,0.35330054,0.35330054,0.35330054,0.35330054,0.35330054,0.35330054,0.27615732,0.27615732,0.27615732,0.27615732,0.27615732,0.27615732,0.27615732,0.27615732,0.27615732,0.27615732,0.27615732,0.27615732,0.27615732
Angola,AGO,0.5194472,0.5194472,0.5194472,0.5194472,0.5194472,0.5194472,0.5194472,0.5194472,0.5194472,0.5194472,0.5194472,0.5194472,0.5194472,0.5194472,0.5194472,0.5194472,0.5194472,0.5194472,0.42715514,0.42715514,0.42715514,0.42715514,0.42715514,0.42715514,0.42715514,0.42715514,0.42715514,0.42715514,0.51263994,0.51263994,0.51263994,0.51263994,0.51263994,0.51263994
Argentina (urban),,0.46754456,0.46754456,0.45455167,0.4484342,0.458985,0.4887874,0.49491405,0.4908586,0.50713223,0.49766296,0.5103861,0.53294307,0.5376044,0.5099472,0.48483652,0.47810388,0.46444556,0.4628268,0.4498683,0.43759,0.43676597,0.42737958,0.41437393,0.41086507,0.4182253,0.4182253,0.42345047,0.41434836,0.41719007,0.43314177,0.42743757,0.4244559,0.40736493,0.40736493
Armenia,ARM,0.36219725,0.36219725,0.36219725,0.36219725,0.36219725,0.36219725,0.36219725,0.36219725,0.36219725,0.36219725,0.36219725,0.3536436,0.34779674,0.33028087,0.37505633,0.35992354,0.29709986,0.31226057,0.2918814,0.2801588,0.29992583,0.29352945,0.29602262,0.30579662,0.3148329,0.32356772,0.32547948,0.3362184,0.344335,0.30031213,0.25131604,0.2794013,0.27945295,0.27945295
Australia,AUS,0.3257863,0.3257863,0.3257863,0.3257863,0.3257863,0.3257863,0.3257863,0.3257863,0.3257863,0.3257863,0.3257863,0.33462042,0.33462042,0.3349686,0.3305577,0.3305577,0.3305577,0.3305577,0.3542851,0.3542851,0.34656727,0.34656727,0.34656727,0.34656727,0.34398198,0.34398198,0.33685225,0.33685225,0.34332561,0.34332561,0.34332561,0.34332561,0.34332561,0.34332561
Austria,AUT,0.3082802,0.3082802,0.3082802,0.3082802,0.3082802,0.29914328,0.29317808,0.29065368,0.31340772,0.2967054,0.28964692,0.28964692,0.28964692,0.29465577,0.29788825,0.28715184,0.29587558,0.30579385,0.30437064,0.31494802,0.3025161,0.30801,0.30475533,0.30752888,0.3053535,0.30530685,0.3079501,0.2973688,0.30847305,0.3021043,0.29800606,0.30701602,0.30701602,0.30701602
Azerbaijan,AZE,0.3464838,0.3464838,0.3464838,0.3464838,0.3464838,0.3464838,0.3464838,0.3464838,0.3464838,0.3464838,0.3464838,0.36454937,0.25277665,0.2683288,0.26621592,0.26554906,0.26554906,0.26554906,0.26554906,0.26554906,0.26554906,0.26554906,0.26554906,0.26554906,0.26554906,0.26554906,0.26554906,0.26554906,0.26554906,0.26554906,0.26554906,0.26554906,0.26554906,0.26554906
Bangladesh,BGD,0.27570805,0.27570805,0.27570805,0.27570805,0.27570805,0.32942984,0.32942984,0.32942984,0.32942984,0.32942984,0.33406532,0.33406532,0.33406532,0.33406532,0.33406532,0.33201292,0.33201292,0.33201292,0.33201292,0.33201292,0.32130313,0.32130313,0.32130313,0.32130313,0.32130313,0.32130313,0.32385272,0.32385272,0.32385272,0.32385272,0.32385272,0.32385272,0.33373156,0.33373156
Belarus,BLR,0.3201835,0.3201835,0.3201835,0.3201835,0.3201835,0.3201835,0.3201835,0.3201835,0.3201835,0.31738147,0.31167483,0.30576724,0.30336243,0.28821012,0.26479885,0.2755341,0.28275442,0.2961238,0.27826044,0.27689305,0.285666,0.2715255,0.26526198,0.26575053,0.27176666,0.25633225,0.25306615,0.2544457,0.25240526,0.25277847,0.24383356,0.24383356,0.24383356,0.24383356
Belgium,BEL,0.2494629,0.2494629,0.2494629,0.2494629,0.2494629,0.28410766,0.28410766,0.2683214,0.2683214,0.2683214,0.33135915,0.33135915,0.33135915,0.28143317,0.30541426,0.29336902,0.28054035,0.29237667,0.28373718,0.28551185,0.28374815,0.2806043,0.27490476,0.27668843,0.28134006,0.27729303,0.2758073,0.27387637,0.2721419,0.27219546,0.2595828,0.2657763,0.2657763,0.2657763
Belize,BLZ,0.6022769,0.6022769,0.6022769,0.6022769,0.60867983,0.60867983,0.5654803,0.6035009,0.54866445,0.5323102,0.5323102,0.5323102,0.5323102,0.5323102,0.5323102,0.5323102,0.5323102,0.5323102,0.5323102,0.5323102,0.5323102,0.5323102,0.5323102,0.5323102,0.5323102,0.5323102,0.5323102,0.5323102,0.5323102,0.5323102,0.5323102,0.5323102,0.5323102,0.5323102
Benin,BEN,0.3857762,0.3857762,0.3857762,0.3857762,0.3857762,0.3857762,0.3857762,0.3857762,0.3857762,0.3857762,0.3857762,0.3857762,0.3857762,0.3857762,0.3857762,0.3857762,0.3857762,0.3857762,0.3857762,0.3857762,0.3857762,0.43439555,0.43439555,0.43439555,0.43439555,0.4762964,0.4762964,0.4762964,0.37948644,0.37948644,0.37948644,0.34395808,0.34395808,0.34395808
Bhutan,BTN,0.40898,0.40898,0.40898,0.40898,0.40898,0.40898,0.40898,0.40898,0.40898,0.40898,0.40898,0.40898,0.40898,0.40898,0.40898,0.40898,0.40898,0.3809077,0.3809077,0.3809077,0.3809077,0.3809077,0.38809326,0.38809326,0.38809326,0.38809326,0.38809326,0.3744141,0.3744141,0.3744141,0.3744141,0.3744141,0.2845992,0.2845992
Bolivia,BOL,0.5814129,0.5814129,0.5814129,0.5814129,0.5814129,0.5814129,0.5814129,0.5814129,0.5814129,0.5803485,0.61563873,0.57366186,0.59274095,0.59274095,0.5500019,0.58518255,0.56660104,0.5453242,0.50814897,0.4922026,0.4922026,0.46080348,0.46579948,0.47588572,0.47829148,0.46731615,0.45240772,0.4461778,0.4257908,0.416443,0.4364544,0.40913323,0.40913323,0.40913323
Bolivia (urban),,0.42035723,0.42035723,0.4907205,0.4907205,0.4907205,0.4907205,0.4907205,0.4907205,0.4907205,0.4907205,0.4907205,0.4907205,0.4907205,0.4907205,0.4907205,0.4907205,0.4907205,0.4907205,0.4907205,0.4907205,0.4907205,0.4907205,0.4907205,0.4907205,0.4907205,0.4907205,0.4907205,0.4907205,0.4907205,0.4907205,0.4907205,0.4907205,0.4907205,0.4907205
Bosnia and Herzegovina,BIH,0.2996643,0.2996643,0.2996643,0.2996643,0.2996643,0.2996643,0.2996643,0.2996643,0.2996643,0.2996643,0.2996643,0.2996643,0.2996643,0.2996643,0.3403749,0.3403749,0.3403749,0.33061588,0.33061588,0.33061588,0.33061588,0.33030185,0.33030185,0.33030185,0.33030185,0.33030185,0.33030185,0.33030185,0.33030185,0.33030185,0.33030185,0.33030185,0.33030185,0.33030185
Botswana,BWA,0.6014759,0.6014759,0.6014759,0.6014759,0.6014759,0.6014759,0.6014759,0.6014759,0.6014759,0.6014759,0.6014759,0.6014759,0.6472722,0.6472722,0.6472722,0.6472722,0.6472722,0.6472722,0.6472722,0.604583,0.604583,0.604583,0.604583,0.604583,0.604583,0.5332503,0.5332503,0.5332503,0.5332503,0.5332503,0.5332503,0.5332503,0.5332503,0.5332503
Brazil,BRA,0.6044999,0.6044999,0.5310165,0.600656,0.600656,0.59530365,0.5983732,0.59753734,0.5956541,0.5895037,0.5895037,0.5840255,0.58105445,0.57553095,0.564716,0.56309944,0.5564207,0.54918945,0.5403744,0.5368187,0.5368187,0.5294164,0.53435296,0.5268333,0.5202964,0.51926446,0.533671,0.53321064,0.5388832,0.5350931,0.48902002,0.52938724,0.5201522,0.5201522
Bulgaria,BGR,0.3071431,0.3071431,0.3071431,0.3071431,0.3071431,0.3071431,0.3071431,0.3071431,0.3071431,0.3071431,0.3071431,0.3071431,0.3071431,0.3071431,0.3071431,0.3071431,0.3568935,0.36095893,0.33572584,0.3382308,0.3565347,0.34275046,0.36011046,0.36570963,0.37415925,0.38564444,0.40589708,0.40378964,0.41284075,0.40271127,0.40523154,0.3900545,0.3900545,0.3900545
Burkina Faso,BFA,0.4802524,0.4802524,0.4802524,0.4802524,0.4802524,0.4802524,0.4802524,0.4802524,0.49877948,0.49877948,0.49877948,0.49877948,0.49877948,0.4325128,0.4325128,0.4325128,0.4325128,0.4325128,0.4325128,0.39761,0.39761,0.39761,0.39761,0.39761,0.35301226,0.35301226,0.35301226,0.35301226,0.43016732,0.43016732,0.43016732,0.37391287,0.37391287,0.37391287
Burundi,BDI,0.3333381,0.3333381,0.3333381,0.3333381,0.3333381,0.3333381,0.3333381,0.3333381,0.42059556,0.42059556,0.42059556,0.42059556,0.42059556,0.42059556,0.42059556,0.42059556,0.33359864,0.33359864,0.33359864,0.33359864,0.33359864,0.33359864,0.33359864,0.38623992,0.38623992,0.38623992,0.38623992,0.38623992,0.38623992,0.38623992,0.37456092,0.37456092,0.37456092,0.37456092
Cameroon,CMR,0.44446665,0.44446665,0.44446665,0.44446665,0.44446665,0.44446665,0.44446665,0.44446665,0.44446665,0.44446665,0.44446665,0.42136794,0.42136794,0.42136794,0.42136794,0.42136794,0.42136794,0.42820063,0.42820063,0.42820063,0.42820063,0.42820063,0.42820063,0.42820063,0.46640873,0.46640873,0.46640873,0.46640873,0.46640873,0.46640873,0.46640873,0.42176074,0.42176074,0.42176074
Canada,CAN,0.31365362,0.31943396,0.3156432,0.31675926,0.3130381,0.3150958,0.32768053,0.33116943,0.33217245,0.33060935,0.33418295,0.33554783,0.3356031,0.33809465,0.33776483,0.33621806,0.3409054,0.33841008,0.33930567,0.33952153,0.33592603,0.32657078,0.33539012,0.3379898,0.33157605,0.33746484,0.32701823,0.33308205,0.3250927,0.31749648,0.31749648,0.31749648,0.31749648,0.31749648
Cape Verde,CPV,0.5249597,0.5249597,0.5249597,0.5249597,0.5249597,0.5249597,0.5249597,0.5249597,0.5249597,0.5249597,0.5249597,0.5249597,0.5249597,0.5249597,0.5249597,0.5249597,0.5249597,0.47187388,0.47187388,0.47187388,0.47187388,0.47187388,0.47187388,0.47187388,0.47187388,0.42381087,0.42381087,0.42381087,0.42381087,0.42381087,0.42381087,0.42381087,0.42381087,0.42381087
Central African Republic,CAF,0.5927244,0.5927244,0.5927244,0.5927244,0.5927244,0.5927244,0.5927244,0.5927244,0.5927244,0.5927244,0.5927244,0.5927244,0.5927244,0.5927244,0.5927244,0.5927244,0.5927244,0.5927244,0.56177914,0.56177914,0.56177914,0.56177914,0.56177914,0.56177914,0.56177914,0.56177914,0.56177914,0.56177914,0.56177914,0.56177914,0.56177914,0.43027893,0.43027893,0.43027893
Chad,TCD,0.39809614,0.39809614,0.39809614,0.39809614,0.39809614,0.39809614,0.39809614,0.39809614,0.39809614,0.39809614,0.39809614,0.39809614,0.39809614,0.39809614,0.39809614,0.39809614,0.39809614,0.39809614,0.39809614,0.39809614,0.39809614,0.43319756,0.43319756,0.43319756,0.43319756,0.43319756,0.43319756,0.43319756,0.37499154,0.37499154,0.37499154,0.37499154,0.373575,0.373575
Chile,CHL,0.5723538,0.5723538,0.54806453,0.54806453,0.5642096,0.5642096,0.54868835,0.54868835,0.5551666,0.5551666,0.5275838,0.5275838,0.5275838,0.51475215,0.51475215,0.51475215,0.47706816,0.47706816,0.47706816,0.47404596,0.47404596,0.46868134,0.46868134,0.46823916,0.46823916,0.45343325,0.45343325,0.4526995,0.4526995,0.4526995,0.4700476,0.4700476,0.4304274,0.4304274
China,CHN,0.3222662,0.3222662,0.3222662,0.338778,0.338778,0.338778,0.3522766,0.3522766,0.3522766,0.38703215,0.38703215,0.38703215,0.41985723,0.41985723,0.41985723,0.40900767,0.40900767,0.40900767,0.4296504,0.4296504,0.43744954,0.42409223,0.42237166,0.397364,0.39177653,0.38595304,0.38480517,0.39075777,0.38497642,0.38168344,0.37090832,0.35743752,0.35743752,0.35743752
China (rural),,0.30475813,0.30475813,0.30475813,0.2804393,0.2804393,0.2804393,0.33620438,0.33620438,0.33620438,0.35389417,0.35389417,0.35389417,0.38019347,0.38019347,0.38019347,0.35849202,0.35849202,0.35849202,0.39399046,0.39399046,0.4060783,0.38497442,0.39497343,0.33971012,0.3375639,0.33242807,0.33179837,0.34255984,0.33541563,0.3267486,0.31574252,0.30404037,0.30404037,0.30404037
China (urban),,0.2559464,0.2559464,0.2559464,0.2846636,0.2846636,0.2846636,0.29089227,0.29089227,0.29089227,0.31547564,0.31547564,0.31547564,0.3339575,0.3339575,0.3339575,0.3473589,0.3473589,0.3473589,0.35154304,0.35154304,0.3574452,0.35559225,0.3535335,0.3668623,0.36429673,0.36156222,0.36124825,0.3694193,0.36906132,0.37052557,0.36667654,0.35652608,0.35652608,0.35652608
Colombia,COL,0.51352334,0.51352334,0.51352334,0.51352334,0.51352334,0.51352334,0.5678045,0.5678045,0.5678045,0.5853699,0.5839443,0.57328486,0.56007546,0.5357371,0.5497496,0.53908044,0.53908044,0.53908044,0.5530713,0.54283005,0.5461688,0.5348354,0.52637744,0.52625173,0.52543414,0.50983036,0.505629,0.4970708,0.50410813,0.5132595,0.53488696,0.5511767,0.5481926,0.5481926
Colombia (urban),,0.51318896,0.51318896,0.51318896,0.51318896,0.51318896,0.51318896,0.51318896,0.51318896,0.51318896,0.51318896,0.51318896,0.51318896,0.51318896,0.51318896,0.51318896,0.51318896,0.51318896,0.51318896,0.51318896,0.51318896,0.51318896,0.51318896,0.51318896,0.51318896,0.51318896,0.51318896,0.51318896,0.51318896,0.51318896,0.51318896,0.51318896,0.51318896,0.51318896,0.51318896
Comoros,COM,0.5592444,0.5592444,0.5592444,0.5592444,0.5592444,0.5592444,0.5592444,0.5592444,0.5592444,0.5592444,0.5592444,0.5592444,0.5592444,0.5592444,0.5592444,0.5592444,0.5592444,0.5592444,0.5592444,0.5592444,0.5592444,0.5592444,0.5592444,0.5592444,0.45332918,0.45332918,0.45332918,0.45332918,0.45332918,0.45332918,0.45332918,0.45332918,0.45332918,0.45332918
Congo,COG,0.4732929,0.4732929,0.4732929,0.4732929,0.4732929,0.4732929,0.4732929,0.4732929,0.4732929,0.4732929,0.4732929,0.4732929,0.4732929,0.4732929,0.4732929,0.4732929,0.4732929,0.4732929,0.4732929,0.4732929,0.4732929,0.48937136,0.48937136,0.48937136,0.48937136,0.48937136,0.48937136,0.48937136,0.48937136,0.48937136,0.48937136,0.48937136,0.48937136,0.48937136
Costa Rica,CRI,0.45215893,0.46555334,0.4564088,0.45928076,0.4670296,0.45660135,0.46479103,0.45579028,0.45638052,0.4763139,0.47410414,0.515062,0.51812834,0.49300545,0.4841771,0.47510344,0.4928061,0.4931286,0.48640883,0.5055479,0.48043102,0.4875928,0.4841734,0.49151823,0.4863214,0.48374,0.48704153,0.4834524,0.47970015,0.4818988,0.4924514,0.48678052,0.47151324,0.46729344
Cote d'Ivoire,CIV,0.393822,0.393822,0.393822,0.393822,0.393822,0.40563822,0.40563822,0.40563822,0.38957423,0.38957423,0.38957423,0.38957423,0.38957423,0.38957423,0.38957423,0.38957423,0.38957423,0.38957423,0.43179876,0.43179876,0.43179876,0.43179876,0.43179876,0.43179876,0.43179876,0.41468868,0.41468868,0.41468868,0.37168875,0.37168875,0.37168875,0.35275364,0.35275364,0.35275364
Croatia,HRV,0.3255369,0.3255369,0.3255369,0.3255369,0.3255369,0.3255369,0.3255369,0.3255369,0.3255369,0.3255369,0.3255369,0.3255369,0.3255369,0.3255369,0.3255369,0.3255369,0.3255369,0.3255369,0.3255369,0.3255369,0.32373103,0.32254267,0.324717,0.3199227,0.32102978,0.31113166,0.30897906,0.30352312,0.29728642,0.28908294,0.29543322,0.28895962,0.28895962,0.28895962
Cyprus,CYP,0.30089056,0.30089056,0.30089056,0.30089056,0.30089056,0.30089056,0.30089056,0.30089056,0.30089056,0.30089056,0.30089056,0.30089056,0.30089056,0.30089056,0.30089056,0.30259413,0.31125963,0.31113273,0.31708607,0.32108265,0.3145779,0.326255,0.34312433,0.37041834,0.35565287,0.33966377,0.32891682,0.31416234,0.32739753,0.3122325,0.31727943,0.3125177,0.3125177,0.3125177
Czechia,CZE,0.20703283,0.20703283,0.20703283,0.2655349,0.2655349,0.2655349,0.2579901,0.2579901,0.2579901,0.2579901,0.2579901,0.2579901,0.26555094,0.26555094,0.2753318,0.26946017,0.26744118,0.25998646,0.26280212,0.26156676,0.26623514,0.26381272,0.26109937,0.26473904,0.25923222,0.25867426,0.25406334,0.2485221,0.24990341,0.25262198,0.26245132,0.26202103,0.26202103,0.26202103
Democratic Republic of Congo,COD,0.41642156,0.41642156,0.41642156,0.41642156,0.41642156,0.41642156,0.41642156,0.41642156,0.41642156,0.41642156,0.41642156,0.41642156,0.41642156,0.41642156,0.41642156,0.41642156,0.41642156,0.41642156,0.41642156,0.41642156,0.41642156,0.41642156,0.42075598,0.42075598,0.42075598,0.42075598,0.42075598,0.42075598,0.42075598,0.42075598,0.44674513,0.44674513,0.44674513,0.44674513
Denmark,DNK,0.2469101,0.2469101,0.2469101,0.2469101,0.2469101,0.22955896,0.22955896,0.22955896,0.22955896,0.22955896,0.2376632,0.2376632,0.2376632,0.2563103,0.24911784,0.2518638,0.25913078,0.26184258,0.2524627,0.26701188,0.2719856,0.27311745,0.2779075,0.28542534,0.2835288,0.28177238,0.28187442,0.28746662,0.2816572,0.27723306,0.27503932,0.28323486,0.28323486,0.28323486
Djibouti,DJI,0.39997312,0.39997312,0.39997312,0.39997312,0.39997312,0.39997312,0.39997312,0.39997312,0.39997312,0.39997312,0.39997312,0.39997312,0.39997312,0.39997312,0.39997312,0.39997312,0.39997312,0.39997312,0.39997312,0.39997312,0.39997312,0.39997312,0.45104358,0.44117805,0.44117805,0.44117805,0.44117805,0.41585726,0.41585726,0.41585726,0.41585726,0.41585726,0.41585726,0.41585726
Dominican Republic,DOM,0.5105286,0.5105286,0.5105286,0.5105286,0.5105286,0.5105286,0.47418755,0.48901546,0.48901546,0.48901546,0.5151364,0.49998924,0.49671522,0.5211965,0.52049935,0.499648,0.51961064,0.48855126,0.48107398,0.48875645,0.47325817,0.47706884,0.46133503,0.47656393,0.442794,0.4518094,0.45722562,0.42192984,0.436861,0.41917086,0.39628294,0.38529298,0.36979377,0.36979377
East Timor,TLS,0.35935292,0.35935292,0.35935292,0.35935292,0.35935292,0.35935292,0.35935292,0.35935292,0.35935292,0.35935292,0.35935292,0.35935292,0.35935292,0.35935292,0.35935292,0.35935292,0.35935292,0.27823317,0.27823317,0.27823317,0.27823317,0.27823317,0.27823317,0.27823317,0.28652927,0.28652927,0.28652927,0.28652927,0.28652927,0.28652927,0.28652927,0.28652927,0.28652927,0.28652927
Ecuador,ECU,0.5333033,0.5333033,0.5333033,0.5333033,0.5333033,0.5333033,0.5333033,0.5333033,0.5333033,0.5857073,0.5629919,0.5629919,0.5629919,0.5351386,0.53889215,0.53049964,0.5224719,0.53354627,0.49787596,0.48498443,0.48799783,0.45871222,0.46109366,0.46862358,0.4499254,0.459508,0.4501621,0.44669914,0.45437902,0.45709932,0.47309554,0.45797464,0.45465034,0.44579506
Ecuador (urban),,0.50827104,0.50827104,0.50827104,0.50827104,0.50827104,0.50827104,0.50827104,0.50827104,0.4960427,0.4960427,0.4960427,0.4960427,0.4960427,0.4960427,0.4960427,0.4960427,0.4960427,0.4960427,0.4960427,0.4960427,0.4960427,0.4960427,0.4960427,0.4960427,0.4960427,0.4960427,0.4960427,0.4960427,0.4960427,0.4960427,0.4960427,0.4960427,0.4960427,0.4960427
Egypt,EGY,0.3200394,0.3200394,0.3200394,0.3200394,0.3200394,0.3008284,0.3008284,0.3008284,0.3008284,0.30834845,0.30834845,0.30834845,0.30834845,0.30834845,0.31847546,0.31847546,0.31847546,0.31847546,0.31102437,0.31102437,0.30191457,0.30191457,0.28292203,0.28292203,0.28292203,0.31823358,0.31823358,0.31533954,0.31533954,0.31893092,0.31893092,0.31893092,0.31893092,0.31893092
El Salvador,SLV,0.53793645,0.53793645,0.53793645,0.53793645,0.53793645,0.49848166,0.5095812,0.5095812,0.54378504,0.5208074,0.5146378,0.5134745,0.518517,0.5043636,0.47799078,0.48472306,0.4568936,0.45217508,0.46885607,0.4582485,0.43513292,0.4231799,0.41828847,0.43358666,0.41559452,0.4055182,0.39978546,0.38007155,0.38610572,0.38778764,0.38778764,0.39010745,0.38753173,0.38753173
Estonia,EST,0.39427334,0.39427334,0.39427334,0.39427334,0.39427334,0.39427334,0.39427334,0.39427334,0.39427334,0.39427334,0.39427334,0.39427334,0.39427334,0.37195182,0.33559534,0.3344686,0.33667818,0.31178468,0.31915063,0.3144271,0.31999895,0.3248852,0.329136,0.35075676,0.3458795,0.3266799,0.3119477,0.30354318,0.3032016,0.30765438,0.30737108,0.31834,0.31834,0.31834
Eswatini,SWZ,0.5863356,0.5863356,0.5863356,0.5863356,0.5863356,0.5863356,0.5863356,0.5863356,0.5863356,0.5863356,0.5311352,0.5311352,0.5311352,0.5311352,0.5311352,0.5311352,0.5311352,0.5311352,0.5311352,0.5144115,0.5144115,0.5144115,0.5144115,0.5144115,0.5144115,0.5144115,0.54579794,0.54579794,0.54579794,0.54579794,0.54579794,0.54579794,0.54579794,0.54579794
Ethiopia,ETH,0.44562823,0.44562823,0.44562823,0.44562823,0.44562823,0.44562823,0.44562823,0.44562823,0.44562823,0.29975793,0.29975793,0.29975793,0.29975793,0.29975793,0.29806852,0.29806852,0.29806852,0.29806852,0.29806852,0.29806852,0.33170602,0.33170602,0.33170602,0.33170602,0.33170602,0.34993124,0.34993124,0.34993124,0.34993124,0.34993124,0.34993124,0.34993124,0.34993124,0.34993124
Fiji,FJI,0.38102055,0.38102055,0.38102055,0.38102055,0.38102055,0.38102055,0.38102055,0.38102055,0.38102055,0.38102055,0.38102055,0.38102055,0.38102055,0.38102055,0.38102055,0.38102055,0.38102055,0.38102055,0.40375587,0.40375587,0.40375587,0.40375587,0.40375587,0.36696598,0.36696598,0.36696598,0.36696598,0.36696598,0.36696598,0.30706868,0.30706868,0.30706868,0.30706868,0.30706868
Finland,FIN,0.22879761,0.22879761,0.22879761,0.22879761,0.22879761,0.23459136,0.23459136,0.23459136,0.23459136,0.23459136,0.27156627,0.27156627,0.27156627,0.27686426,0.27897653,0.27619493,0.27998725,0.28285563,0.27838135,0.27455276,0.2771396,0.27642646,0.27096376,0.27193668,0.26776803,0.2710181,0.27078423,0.2738283,0.27329567,0.27737123,0.27091044,0.27708507,0.27708507,0.27708507
France,FRA,0.32119063,0.32119063,0.32119063,0.32119063,0.32119063,0.32119063,0.32016575,0.3190015,0.31657764,0.32499772,0.32553056,0.3253329,0.31778157,0.31411052,0.30647254,0.29833862,0.29691088,0.32427707,0.32996443,0.3266122,0.33720416,0.3329475,0.3311486,0.32512552,0.32262158,0.32704228,0.31923512,0.3163205,0.32380664,0.31199563,0.3066147,0.31500953,0.31500953,0.31500953
Gabon,GAB,0.42184988,0.42184988,0.42184988,0.42184988,0.42184988,0.42184988,0.42184988,0.42184988,0.42184988,0.42184988,0.42184988,0.42184988,0.42184988,0.42184988,0.42184988,0.42184988,0.42184988,0.42184988,0.42184988,0.42184988,0.42184988,0.42184988,0.42184988,0.42184988,0.42184988,0.42184988,0.42184988,0.38024372,0.38024372,0.38024372,0.38024372,0.38024372,0.38024372,0.38024372
Gambia,GMB,0.48250192,0.48250192,0.48250192,0.48250192,0.48250192,0.48250192,0.48250192,0.48250192,0.48250192,0.48250192,0.48250192,0.48250192,0.48250192,0.47308534,0.47308534,0.47308534,0.47308534,0.47308534,0.47308534,0.47308534,0.43568197,0.43568197,0.43568197,0.43568197,0.43568197,0.35918832,0.35918832,0.35918832,0.35918832,0.35918832,0.38757205,0.38757205,0.38757205,0.38757205
Georgia,GEO,0.37132707,0.37132707,0.37132707,0.37132707,0.37132707,0.37132707,0.37132707,0.40682536,0.4123018,0.40128374,0.4045976,0.39557204,0.3724613,0.36650413,0.3616882,0.37375313,0.36865547,0.38108635,0.38532716,0.38234815,0.394587,0.3959351,0.38953948,0.38588807,0.37554133,0.36503676,0.3663965,0.37939596,0.36411363,0.35900706,0.3446499,0.3417846,0.3350009,0.3350009
